Step,Temp,PotEng,TotEng,Press
0,0,-19639.49,-19639.49,-1545615.2
100,0,-29654.557,-29654.557,-60626.243
200,0,-30050.895,-30050.895,-43069.823
300,0,-30243.689,-30243.689,-67343.685
400,0,-30327.795,-30327.795,-62437.684
500,0,-30386.524,-30386.524,-44291.098
600,0,-30456.181,-30456.181,-30804.327
700,0,-30510.057,-30510.057,-34283.494
800,0,-30555.29,-30555.29,-33017.523
900,0,-30590.228,-30590.228,-35741.928
1000,0,-30622.48,-30622.48,-29763.819
1100,0,-30632.548,-30632.548,-30147.968
1200,0,-30666.907,-30666.907,-31705.76
1293,0,-30678.475,-30678.475,-25099.739
